+12-1:1
+12-2:1
+5-1:1
+5-2:1
-12-1:1
-12-2:1
-5-1:1
-5-2:1
3.3-1:1
3.3-2:1
BZ1:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
Encoder-Switch1:1
GND-1:1
GND-2:1
GND-3:1
GND1:1
GND2:1
GND3:1
IIC1:1
J1:1
J4:1
JP1:1
JP10:1
JP11:1
JP12:1
JP13:1
JP14:1
JP15:1
JP16:1
JP17:1
JP18:1
JP19:1
JP2:1
JP20:1
JP21:1
JP3:1
JP4:1
JP5:1
JP6:1
JP7:1
JP8:1
JP9:1
L1:1
L2:1
L3:1
L4:1
L5:1
Q1:1
QRcode:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R18:1
R2:1
R20:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
REF**:3
RV1:1
RV2:1
Reset1:1
SlowReset1:1
TP1:1
TP10:1
TP11:1
TP12:1
TP13:1
TP14:1
TP15:1
TP2:1
TP3:1
TP4:1
TP5:1
TP6:1
TP7:1
TP8:1
TP9:1
U2:1
U3:1
U4:1
U6-0x41:1
U8-0x40:1
Y1:1
